machine, size, metric, invocations, min, max, mean
f3,200_200_50,300,"gld_request",2912,2912,2912
f3,200_200_50,300,"gst_request",2912,2912,2912
f3,200_200_50,300,"active_cycles",199880,207428,203066
f3,200_200_50,300,"active_warps",1402802,1453340,1421534
f3,200_200_50,300,"sm_cta_launched",13,13,13
f3,200_200_50,300,"not_predicated_off_thread_inst_executed",1076800,1076800,1076800
f3,200_200_50,300,"l1_local_load_hit",0,0,0
f3,200_200_50,300,"l1_local_load_miss",0,0,0
f3,200_200_50,300,"l1_local_store_hit",0,0,0
f3,200_200_50,300,"l1_local_store_miss",0,0,0
f3,200_200_50,300,"l1_global_load_hit",0,0,0
f3,200_200_50,300,"l1_global_load_miss",0,0,0
f3,200_200_50,300,"uncached_global_load_transaction",6400,6400,6400
f3,200_200_50,300,"global_store_transaction",6400,6400,6400
f3,200_200_50,300,"shared_load_replay",0,0,0
f3,200_200_50,300,"shared_store_replay",0,0,0
f3,200_200_50,300,"global_ld_mem_divergence_replays",3600,3600,3600
f3,200_200_50,300,"global_st_mem_divergence_replays",3600,3600,3600
f3,200_200_50,300,"local_load_transactions",0,0,0
f3,200_200_50,300,"local_store_transactions",0,0,0
f3,200_200_50,300,"l1_shared_load_transactions",0,0,0
f3,200_200_50,300,"l1_shared_store_transactions",0,0,0
f3,200_200_50,300,"__l1_global_load_transactions",7024,7024,7024
f3,200_200_50,300,"__l1_global_store_transactions",7024,7024,7024
f3,200_200_50,300,"atom_count",0,0,0
f3,200_200_50,300,"gred_count",0,0,0
f3,200_200_50,300,"tex0_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex1_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex2_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex3_cache_sector_queries",0,0,0
f3,200_200_50,300,"tex0_cache_sector_misses",0,0,0
f3,200_200_50,300,"tex1_cache_sector_misses",0,0,0
f3,200_200_50,300,"tex2_cache_sector_misses",0,0,0
f3,200_200_50,300,"tex3_cache_sector_misses",0,0,0
f3,200_200_50,300,"fb_subp0_read_sectors",432076,441042,434342
f3,200_200_50,300,"fb_subp1_read_sectors",431919,442536,434695
f3,200_200_50,300,"fb_subp0_write_sectors",342247,362964,347352
f3,200_200_50,300,"fb_subp1_write_sectors",342779,366571,347387
f3,200_200_50,300,"l2_subp0_write_sector_misses",132922,138370,134575
f3,200_200_50,300,"l2_subp1_write_sector_misses",133040,139425,134306
