machine, size, metric, invocations, min, max, mean
ccsl,200_200_50,300,"warps_launched",91,91,91
ccsl,200_200_50,300,"threads_launched",2600,2600,2600
ccsl,200_200_50,300,"inst_executed",38766,38766,38766
ccsl,200_200_50,300,"inst_issued1",40290,40491,40385
ccsl,200_200_50,300,"inst_issued2",9464,9464,9464
ccsl,200_200_50,300,"thread_inst_executed",1107600,1107600,1107600
ccsl,200_200_50,300,"shared_load",0,0,0
ccsl,200_200_50,300,"shared_store",0,0,0
ccsl,200_200_50,300,"local_load",0,0,0
ccsl,200_200_50,300,"local_store",0,0,0
ccsl,200_200_50,300,"gld_request",2912,2912,2912
ccsl,200_200_50,300,"gst_request",2912,2912,2912
ccsl,200_200_50,300,"active_cycles",195734,205044,199588
ccsl,200_200_50,300,"active_warps",1370942,1435556,1396673
ccsl,200_200_50,300,"sm_cta_launched",13,13,13
ccsl,200_200_50,300,"not_predicated_off_thread_inst_executed",1076800,1076800,1076800
ccsl,200_200_50,300,"l1_local_load_hit",0,0,0
ccsl,200_200_50,300,"l1_local_load_miss",0,0,0
ccsl,200_200_50,300,"l1_local_store_hit",0,0,0
ccsl,200_200_50,300,"l1_local_store_miss",0,0,0
ccsl,200_200_50,300,"l1_global_load_hit",0,0,0
ccsl,200_200_50,300,"l1_global_load_miss",0,0,0
ccsl,200_200_50,300,"uncached_global_load_transaction",6400,6400,6400
ccsl,200_200_50,300,"global_store_transaction",6400,6400,6400
ccsl,200_200_50,300,"shared_load_replay",0,0,0
ccsl,200_200_50,300,"shared_store_replay",0,0,0
ccsl,200_200_50,300,"global_ld_mem_divergence_replays",3600,3600,3600
ccsl,200_200_50,300,"global_st_mem_divergence_replays",3600,3600,3600
ccsl,200_200_50,300,"local_load_transactions",0,0,0
ccsl,200_200_50,300,"local_store_transactions",0,0,0
ccsl,200_200_50,300,"l1_shared_load_transactions",0,0,0
ccsl,200_200_50,300,"l1_shared_store_transactions",0,0,0
ccsl,200_200_50,300,"__l1_global_load_transactions",7024,7024,7024
ccsl,200_200_50,300,"__l1_global_store_transactions",7024,7024,7024
ccsl,200_200_50,300,"atom_count",0,0,0
ccsl,200_200_50,300,"gred_count",0,0,0
ccsl,200_200_50,300,"tex0_cache_sector_queries",0,0,0
ccsl,200_200_50,300,"tex1_cache_sector_queries",0,0,0
ccsl,200_200_50,300,"tex2_cache_sector_queries",0,0,0
ccsl,200_200_50,300,"tex3_cache_sector_queries",0,0,0
ccsl,200_200_50,300,"tex0_cache_sector_misses",0,0,0
ccsl,200_200_50,300,"tex1_cache_sector_misses",0,0,0
ccsl,200_200_50,300,"tex2_cache_sector_misses",0,0,0
ccsl,200_200_50,300,"tex3_cache_sector_misses",0,0,0
ccsl,200_200_50,300,"fb_subp0_read_sectors",429054,433908,431459
ccsl,200_200_50,300,"fb_subp1_read_sectors",429586,434679,431493
ccsl,200_200_50,300,"fb_subp0_write_sectors",352729,366776,360345
ccsl,200_200_50,300,"fb_subp1_write_sectors",351701,367664,360098
ccsl,200_200_50,300,"l2_subp0_write_sector_misses",136421,140399,138591
ccsl,200_200_50,300,"l2_subp1_write_sector_misses",136579,140810,138577
ccsl,200_200_50,300,"l2_subp2_write_sector_misses",136416,140535,138552
ccsl,200_200_50,300,"l2_subp3_write_sector_misses",136357,140323,138484
ccsl,200_200_50,300,"l2_subp0_read_sector_misses",148918,149832,149266
ccsl,200_200_50,300,"l2_subp1_read_sector_misses",149043,150025,149392
ccsl,200_200_50,300,"l2_subp2_read_sector_misses",148964,150057,149287
ccsl,200_200_50,300,"l2_subp3_read_sector_misses",149099,149976,149408
ccsl,200_200_50,300,"l2_subp0_write_l1_sector_queries",147301,147625,147340
ccsl,200_200_50,300,"l2_subp1_write_l1_sector_queries",147327,147635,147379
ccsl,200_200_50,300,"l2_subp2_write_l1_sector_queries",147296,147604,147330
ccsl,200_200_50,300,"l2_subp3_write_l1_sector_queries",147324,147628,147354
ccsl,200_200_50,300,"l2_subp0_read_l1_sector_queries",220779,220779,220779
ccsl,200_200_50,300,"l2_subp1_read_l1_sector_queries",220809,220809,220809
ccsl,200_200_50,300,"l2_subp2_read_l1_sector_queries",220645,220645,220645
ccsl,200_200_50,300,"l2_subp3_read_l1_sector_queries",220917,220917,220917
ccsl,200_200_50,300,"l2_subp0_read_l1_hit_sectors",71370,72391,72131
ccsl,200_200_50,300,"l2_subp1_read_l1_hit_sectors",71418,72264,72006
ccsl,200_200_50,300,"l2_subp2_read_l1_hit_sectors",71347,72177,71971
ccsl,200_200_50,300,"l2_subp3_read_l1_hit_sectors",71576,72273,72056
ccsl,200_200_50,300,"l2_subp0_read_tex_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp1_read_tex_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp2_read_tex_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp3_read_tex_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp0_read_tex_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp1_read_tex_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp2_read_tex_hit_sectors",0,0,0
ccsl,200_200_50,300,"l2_subp3_read_tex_hit_sectors",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_thread_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_thread_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_thread_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_thread_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_thread_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_thread_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_thread_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_thread_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_thread_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_thread_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_thread_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_thread_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_warp_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_warp_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_warp_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_warp_count_32b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_warp_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_warp_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_warp_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_warp_count_64b",0,0,0
ccsl,200_200_50,300,"rocache_subp0_gld_warp_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp1_gld_warp_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp2_gld_warp_count_128b",0,0,0
ccsl,200_200_50,300,"rocache_subp3_gld_warp_count_128b",0,0,0
ccsl,200_200_50,300,"l2_subp0_read_sysmem_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp1_read_sysmem_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp2_read_sysmem_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp3_read_sysmem_sector_queries",0,0,0
ccsl,200_200_50,300,"l2_subp0_write_sysmem_sector_queries",0,4,1
ccsl,200_200_50,300,"l2_subp1_write_sysmem_sector_queries",0,4,1
ccsl,200_200_50,300,"l2_subp2_write_sysmem_sector_queries",1,5,2
ccsl,200_200_50,300,"l2_subp3_write_sysmem_sector_queries",0,4,1
ccsl,200_200_50,300,"l2_subp0_total_read_sector_queries",220939,221464,221019
ccsl,200_200_50,300,"l2_subp1_total_read_sector_queries",220965,221464,221049
ccsl,200_200_50,300,"l2_subp2_total_read_sector_queries",220865,221657,220956
ccsl,200_200_50,300,"l2_subp3_total_read_sector_queries",221137,221569,221212
ccsl,200_200_50,300,"l2_subp0_total_write_sector_queries",147784,148361,147890
ccsl,200_200_50,300,"l2_subp1_total_write_sector_queries",147757,148281,147876
ccsl,200_200_50,300,"l2_subp2_total_write_sector_queries",147731,148287,147872
ccsl,200_200_50,300,"l2_subp3_total_write_sector_queries",147729,148350,147855
ccsl,200_200_50,300,"elapsed_cycles_sm",6501285,6747570,6591509
ccsl,200_200_50,300,"gld_inst_8bit",0,0,0
ccsl,200_200_50,300,"gld_inst_16bit",0,0,0
ccsl,200_200_50,300,"gld_inst_32bit",0,0,0
ccsl,200_200_50,300,"gld_inst_64bit",2477550,2477550,2477550
ccsl,200_200_50,300,"gld_inst_128bit",0,0,0
ccsl,200_200_50,300,"gst_inst_8bit",0,0,0
ccsl,200_200_50,300,"gst_inst_16bit",0,0,0
ccsl,200_200_50,300,"gst_inst_32bit",0,0,0
ccsl,200_200_50,300,"gst_inst_64bit",1881792,1881792,1881792
ccsl,200_200_50,300,"gst_inst_128bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_8bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_16bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_32bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_64bit",0,0,0
ccsl,200_200_50,300,"rocache_gld_inst_128bit",0,0,0
ccsl,200_200_50,300,"prof_trigger_00",0,0,0
ccsl,200_200_50,300,"prof_trigger_01",0,0,0
ccsl,200_200_50,300,"prof_trigger_02",0,0,0
ccsl,200_200_50,300,"prof_trigger_03",0,0,0
ccsl,200_200_50,300,"prof_trigger_04",0,0,0
ccsl,200_200_50,300,"prof_trigger_05",0,0,0
ccsl,200_200_50,300,"prof_trigger_06",0,0,0
ccsl,200_200_50,300,"prof_trigger_07",0,0,0
ccsl,200_200_50,300,"atom_cas_count",0,0,0
ccsl,200_200_50,300,"warps_launched",1352,1352,1352
ccsl,200_200_50,300,"threads_launched",43264,43264,43264
ccsl,200_200_50,300,"inst_executed",11042450,11042450,11042450
ccsl,200_200_50,300,"inst_issued1",8955567,8960907,8958682
ccsl,200_200_50,300,"inst_issued2",2318353,2321910,2320415
