machine,kernel,size(xyz),iteration,IsStream,nTile,totalExeTime
f3,StencilCudaGpu37,1000_1000_800,1,1,17,2517683112
f3,StencilCudaGpu37,1000_1000_800,1,1,18,2517326527
f3,StencilCudaGpu37,1000_1000_800,1,1,19,2507045098
f3,StencilCudaGpu37,1000_1000_800,1,1,20,2517107277
f3,StencilCudaGpu37,1000_1000_800,1,1,21,2507473337
f3,StencilCudaGpu37,1000_1000_800,1,1,22,2507284160
f3,StencilCudaGpu37,1000_1000_800,1,1,23,2517566278
f3,StencilCudaGpu37,1000_1000_800,1,1,24,2505814103
f3,StencilCudaGpu37,1000_1000_800,1,1,25,2507447252
f3,StencilCudaGpu37,1000_1000_800,1,1,26,2506995583
f3,StencilCudaGpu37,1000_1000_800,1,1,27,2517726421
f3,StencilCudaGpu37,1000_1000_800,1,1,28,2517547306
f3,StencilCudaGpu37,1000_1000_800,1,1,29,2507437981
f3,StencilCudaGpu37,1000_1000_800,1,1,30,2517022683
f3,StencilCudaGpu37,1000_1000_800,1,1,31,2518044135
f3,StencilCudaGpu37,1000_1000_800,1,1,32,2507475758
f3,StencilCudaGpu37,1000_1000_800,1,1,33,2517024820
f3,StencilCudaGpu37,1000_1000_800,1,1,34,2507312769
f3,StencilCudaGpu37,1000_1000_800,1,1,35,2507601103
f3,StencilCudaGpu37,1000_1000_800,1,1,36,2507171105
f3,StencilCudaGpu37,1000_1000_800,1,1,37,2506997396
f3,StencilCudaGpu37,1000_1000_800,1,1,38,2507106246
f3,StencilCudaGpu37,1000_1000_800,1,1,39,2507527341
f3,StencilCudaGpu37,1000_1000_800,1,1,40,2507653580
f3,StencilCudaGpu37,1000_1000_800,1,1,41,2507675035
f3,StencilCudaGpu37,1000_1000_800,1,1,42,2517308271
f3,StencilCudaGpu37,1000_1000_800,1,1,43,2507039979
f3,StencilCudaGpu37,1000_1000_800,1,1,44,2507272272
f3,StencilCudaGpu37,1000_1000_800,1,1,45,2507933121
f3,StencilCudaGpu37,1000_1000_800,1,1,46,2506747931
f3,StencilCudaGpu37,1000_1000_800,1,1,47,2506547491
f3,StencilCudaGpu37,1000_1000_800,1,1,48,2507959691
f3,StencilCudaGpu37,1000_1000_800,1,1,49,2507626266
f3,StencilCudaGpu37,1000_1000_800,1,1,50,2507186596
f3,StencilCudaGpu37,100_100_1000,1,0,0,48530163
f3,StencilCudaGpu37,100_100_1000,1,1,1,49252191
f3,StencilCudaGpu37,100_100_1000,1,1,2,49790465
f3,StencilCudaGpu37,100_100_1000,1,1,3,49042687
f3,StencilCudaGpu37,100_100_1000,1,1,4,49044682
f3,StencilCudaGpu37,100_100_1000,1,1,5,48891260
f3,StencilCudaGpu37,100_100_1000,1,1,6,49706309
f3,StencilCudaGpu37,100_100_1000,1,1,7,48801771
f3,StencilCudaGpu37,200_200_1000,1,0,0,166839675
f3,StencilCudaGpu37,200_200_1000,1,1,1,166901142
f3,StencilCudaGpu37,200_200_1000,1,1,2,166048216
f3,StencilCudaGpu37,200_200_1000,1,1,3,166596351
f3,StencilCudaGpu37,200_200_1000,1,1,4,166767835
f3,StencilCudaGpu37,200_200_1000,1,1,5,166915252
f3,StencilCudaGpu37,200_200_1000,1,1,6,166875098
f3,StencilCudaGpu37,200_200_1000,1,1,7,167339321
f3,StencilCudaGpu37,200_200_1000,1,1,8,164765004
f3,StencilCudaGpu37,200_200_1000,1,1,9,166752064
f3,StencilCudaGpu37,200_200_1000,1,1,10,167184154
f3,StencilCudaGpu37,200_200_1000,1,1,11,166947410
f3,StencilCudaGpu37,200_200_1000,1,1,12,165698158
f3,StencilCudaGpu37,200_200_1000,1,1,13,166971066
f3,StencilCudaGpu37,400_400_1000,1,0,0,634681182
f3,StencilCudaGpu37,400_400_1000,1,1,1,634638599
f3,StencilCudaGpu37,400_400_1000,1,1,2,636508979
f3,StencilCudaGpu37,400_400_1000,1,1,3,634638442
f3,StencilCudaGpu37,400_400_1000,1,1,4,634559030
f3,StencilCudaGpu37,400_400_1000,1,1,5,634775716
f3,StencilCudaGpu37,400_400_1000,1,1,6,634888560
f3,StencilCudaGpu37,400_400_1000,1,1,7,634645865
f3,StencilCudaGpu37,400_400_1000,1,1,8,634362164
f3,StencilCudaGpu37,400_400_1000,1,1,9,634192608
f3,StencilCudaGpu37,400_400_1000,1,1,10,634323107
f3,StencilCudaGpu37,400_400_1000,1,1,11,634889014
f3,StencilCudaGpu37,400_400_1000,1,1,12,636723242
f3,StencilCudaGpu37,400_400_1000,1,1,13,636179497
f3,StencilCudaGpu37,400_400_1000,1,1,14,636627410
f3,StencilCudaGpu37,400_400_1000,1,1,15,634887356
f3,StencilCudaGpu37,400_400_1000,1,1,16,634372256
f3,StencilCudaGpu37,400_400_1000,1,1,17,634297644
f3,StencilCudaGpu37,400_400_1000,1,1,18,636618139
f3,StencilCudaGpu37,400_400_1000,1,1,19,634822720
f3,StencilCudaGpu37,400_400_1000,1,1,20,633982152
f3,StencilCudaGpu37,400_400_1000,1,1,21,634732352
f3,StencilCudaGpu37,400_400_1000,1,1,22,634482805
f3,StencilCudaGpu37,400_400_1000,1,1,23,634798693
f3,StencilCudaGpu37,400_400_1000,1,1,24,634996500
f3,StencilCudaGpu37,400_400_1000,1,1,25,636625343
f3,StencilCudaGpu37,800_800_1000,1,0,0,2028821487
f3,StencilCudaGpu37,800_800_1000,1,1,1,2028557759
f3,StencilCudaGpu37,800_800_1000,1,1,2,2028225640
f3,StencilCudaGpu37,800_800_1000,1,1,3,2028366737
f3,StencilCudaGpu37,800_800_1000,1,1,4,2028822959
f3,StencilCudaGpu37,800_800_1000,1,1,5,2028894445
f3,StencilCudaGpu37,800_800_1000,1,1,6,2028110159
f3,StencilCudaGpu37,800_800_1000,1,1,7,2036051008
f3,StencilCudaGpu37,800_800_1000,1,1,8,2028445228
f3,StencilCudaGpu37,800_800_1000,1,1,9,2028873775
f3,StencilCudaGpu37,800_800_1000,1,1,10,2028891068
f3,StencilCudaGpu37,800_800_1000,1,1,11,2028550898
f3,StencilCudaGpu37,800_800_1000,1,1,12,2028911811
f3,StencilCudaGpu37,800_800_1000,1,1,13,2028815666
f3,StencilCudaGpu37,800_800_1000,1,1,14,2029520665
f3,StencilCudaGpu37,800_800_1000,1,1,15,2028905549
f3,StencilCudaGpu37,800_800_1000,1,1,16,2028456747
f3,StencilCudaGpu37,800_800_1000,1,1,17,2036676813
f3,StencilCudaGpu37,800_800_1000,1,1,18,2028935238
f3,StencilCudaGpu37,800_800_1000,1,1,19,2028514102
f3,StencilCudaGpu37,800_800_1000,1,1,20,2029261647
